location_id,name,lat,lng,type,area,specialty,established_year,price_range,vibe_category,age_years,food_establishment_density,street_vendor_density,distance_to_market,foot_traffic_density,distance_to_station,commercial_kitchen_density,late_night_food_score,cultural_authenticity_score,morning_customers,lunch_customers,evening_customers,night_customers,weekend_multiplier,peak_waiting_time_minutes,average_meal_duration_minutes,commercial_food_density,residential_density,road_accessibility,parking_availability,pedestrian_access,building_size_sqm,kitchen_to_dining_ratio,seating_capacity_estimate,signage_visibility_score,waste_management_score,delivery_accessibility,vendor_setup_space,queue_management_space,culinary_heritage_score,tourist_appeal,local_popularity,food_blogger_mentions,michelin_mentioned,street_food_authenticity,cultural_diversity_score,average_meal_cost,daily_revenue_estimate,employment_generated,supply_chain_local_ratio,peak_dining_hours,seasonal_variation,delivery_availability,monsoon_impact_score,cuisine_type,spice_level,vegetarian_options,hygiene_rating,portion_size_rating,vibe_intensity,data_collection_date,confidence_score
BB_001,Mohammed Ali Road,18.9589,72.8333,Street Food Hub,Mohammed Ali Road,Kebabs & Biryani,1890,Budget,Bombay Bhukkad,134,28.8078997871485,14.264258309742623,1235.161016286574,63.06056025103799,481.8420034007344,5.9114181189521275,10.454151979957695,8.246286337823197,423,1661,1446,1143,1.763252899462748,15,24,0.4935357152745341,0.35408145807113317,0.9096473151690365,0.14115539935417912,0.8085126746120005,43.41187912427289,0.5557187835195089,45.03282383058181,1.4127582926985935,6.358199221359351,8.18728639391791,0.13703071400939953,0.30514852219257244,10.0,10.0,9.189824248241552,19,0,8.714692485821873,10.0,121,10890,9,0.7112533187537916,"12:00-14:00, 18:00-22:00",0.2973936860542251,1.5737223394712725,4.940860642929661,Mughlai,3.6637919383496924,0.18253381445137562,2.8,4.044540783895745,5.0,2024-11-20,0.7651246773116934
BB_002,Khau Galli,18.9378,72.8378,Street Food Lane,Fort,Mixed Street Food,1920,Budget,Bombay Bhukkad,104,22.159720554923197,4.807928703104023,350.93844447025947,61.30717969779521,312.7887027117421,2.158697050720584,0.0,6.254489615187314,252,789,1051,611,1.4393731348221508,17,14,0.6596184895536862,0.6066279807752073,0.41561847599095786,0.40703831667949897,1.0021827832165087,67.86541098046578,0.7520940130315859,33.23512982655724,7.865601087409761,5.691676063477101,8.766164785800779,0.10385183245336341,0.14343394102449508,8.0,6.695262218935509,8.796190522328075,0,0,8.875287552935104,9.993212743781664,96,5507,5,0.7538697771017789,"12:00-14:00, 19:00-22:00",0.19024072845192114,8.646484484236879,8.562960668753576,Multi-cuisine,2.472475239552632,0.3622543260880897,3.2,3.4629568270078432,5.0,2024-11-20,0.7701535354225105
BB_003,Juhu Chowpatty Food Stalls,18.9896,72.8267,Beach Food,Juhu,Bhel Puri & Pav Bhaji,1940,Budget,Bombay Bhukkad,84,12.82848134154482,13.616546146908277,691.3213408536714,52.98004031325388,0.0,7.146257646120947,6.332703328695377,8.314852694394029,90,389,1178,236,2.4283686889925797,18,30,0.7659988326078039,0.4764320274131771,0.7567969773062571,0.3399715509337563,0.9333819677866287,180.64398746730754,0.6711361728299063,61.26910923177065,6.826352499261715,6.332008304915307,6.999830873660404,0.15313353117850645,0.31576875608506316,7.68,6.359713695207762,5.933603088021076,5,0,9.108908803205342,7.908302120633287,116,13139,5,0.4956726972868535,17:00-22:00,0.31405679738243275,2.867309269347563,7.664091114650731,Maharashtrian,2.7742962204370207,0.6733440875596634,2.8,4.116544780993944,4.14,2024-11-20,0.7969870575544334
BB_004,Carter Road Food Court,19.0544,72.8181,Street Food Court,Bandra,Chat & Juice,1980,Budget,Bombay Bhukkad,44,10.292727434235045,9.942700227366158,391.31634063775005,61.49907289105579,313.08377075357316,5.669004632648991,7.707578596629572,5.816814469655895,145,280,366,114,1.6568531365996606,20,22,0.5218403113306539,0.5334577012558653,0.7919717665657686,0.40999055149562913,0.8740633702675642,120.96326547590117,0.345339335953494,60.35819493479762,6.56150486769874,4.643262097437702,6.586724274396803,0.4381637030465402,0.26024202906657834,6.88,5.649679173262213,5.946081068273065,5,0,7.974657865459887,8.847175360585409,112,15951,5,0.999985197901903,"12:00-14:00, 19:00-22:00",0.23166552724765005,9.603669697285426,4.754280217919505,North Indian Street Food,2.832525411515264,0.46921167989836304,2.5,4.758998066799378,3.81,2024-11-20,0.6658414935109047
BB_005,Elco Market,19.0544,72.8267,Food Market,Bandra,Pani Puri & Dosa,1970,Budget,Bombay Bhukkad,54,29.053350129940814,11.843172585572347,60.89886220506672,94.15974501275393,374.0835925894649,11.722980768976962,2.0881148987759044,4.932555548785912,588,909,801,192,1.159407756188264,19,40,0.6398980934306492,0.5944092695351164,0.670133844667239,0.29703636341472806,0.7877299349234683,228.98003098860735,0.47196490459317086,45.344961921706435,3.447965375725003,5.561182880386728,6.909161454600679,0.3387104299898292,0.20486531232236585,9.38,5.9369264540300275,8.929245910425912,3,0,8.472709761092768,8.638023843283943,190,41186,42,0.8529649853450466,"08:00-11:00, 17:00-20:00",0.31527361137836474,6.979839891743419,5.11429401686069,South Indian,4.1754772211310875,0.4757649778484015,2.9,3.805468827280112,4.71,2024-11-20,0.8102151684156653
BB_006,Hill Road Food Street,19.0544,72.8267,Street Food Street,Bandra,Vada Pav & Sandwich,1975,Budget,Bombay Bhukkad,49,12.125107759953051,17.277297002420074,267.2128581399997,76.79416946816269,376.76396639927356,2.2915709024806437,9.207635135176488,8.372156557892442,168,295,432,91,1.4357981608571777,24,42,0.6500038947715665,0.5989150978376307,0.6724082054358287,0.2665382063718234,0.8282108236388729,133.70910799095205,0.20682140076133343,56.072814085647664,7.231318567897577,4.61165186886563,8.505094571959141,0.3263831429159172,0.3354478666194345,6.98,6.635292399684898,6.228537048375557,6,0,7.813607392423814,9.487910254323642,181,15116,8,0.8090219470688244,"12:00-14:00, 19:00-22:00",0.3245754117440186,9.139654879581162,4.595621800485333,Maharashtrian,2.5196821325890193,0.32173338775501503,2.6,5.215433490897205,3.71,2024-11-20,0.9297305268712448
BB_007,Linking Road Food Stalls,19.0544,72.8267,Shopping Street Food,Bandra,Fast Food,1985,Budget,Bombay Bhukkad,39,10.236169697110743,13.606004554799888,198.31745089515147,38.958483414508414,302.3574061868295,5.560913398513794,3.2399886413424577,6.064721363473171,185,261,447,49,1.631758716522372,22,39,0.6377486389729536,0.4069097650777627,0.7873413128756118,0.31908482455499937,0.5718100520775524,106.46845510675861,0.43218892816078486,30.54294634314289,5.153286819017188,6.816385033776532,6.560466877162321,0.22048587341790077,0.15886319304746543,6.78,5.83272649428786,7.370855443288372,3,0,8.709705643664266,7.985423798676867,99,13395,9,0.7429686128137444,"12:00-14:00, 19:00-22:00",0.13219724527381582,6.670759546969861,3.4420422366256,Multi-cuisine,2.8444611280582044,0.8102747716648029,3.1,4.960328109709608,3.79,2024-11-20,0.8994180533608394
BB_008,Dadar Chowpatty Food Area,19.0189,72.8467,Beach Food,Dadar,Traditional Chat,1950,Budget,Bombay Bhukkad,74,13.329223136015122,16.267354653194335,124.80330966442227,21.791524425916805,165.3816651640524,1.555746403629823,2.1219078221560332,4.88924503222299,112,476,1071,223,2.4699424936741785,26,23,0.6340843963646308,0.4438466207341872,0.7713339940101099,0.36302303488008836,0.7689031851761222,141.33791281718356,0.36057769809575874,58.87993576929327,6.003088420010565,3.6152259992073206,7.091417819985221,0.1956768584370904,0.18017251063758669,7.48,7.1063374960229435,7.149628125281467,2,0,8.366583374436098,7.002545505292021,159,21759,8,0.5793600308860024,17:00-22:00,0.289839951419653,3.9101479472537095,7.86179929151312,North Indian Street Food,3.140689652923698,0.33533279720452586,2.6,4.330607818674729,4.17,2024-11-20,0.8388140016042013
BB_009,Kyaani & Co.,18.9347,72.8278,Irani Cafe,Marine Lines,Bun Maska & Chai,1904,Budget,Bombay Bhukkad,120,16.244127092227682,5.593029539969966,1003.3737740907043,24.082287731514253,400.83663785130943,5.001943927927027,7.055026504471953,8.48559674912465,136,185,173,78,1.207143765407872,5,26,0.6948512937890228,0.4282257144930375,0.6768908805491618,0.4608018187230103,0.7097826410952668,124.09676592389746,0.4471401404794917,51.362549413586315,5.810608636133369,6.2527267150710095,8.670665244841242,0.2200530491768566,0.19720484348117978,10.0,10.0,5.650926892548585,15,0,8.792932988703408,6.4156243217479645,115,11944,5,0.8573823616713353,"12:00-14:00, 19:00-22:00",0.1841001767805841,2.3136935398266583,4.478291533753732,Beverages,4.149383304666896,0.14855333088427197,3.5,4.258236785840315,5.0,2024-11-20,0.8962011918036871
BB_010,Bademiya,18.922,72.8331,Kebab Joint,Colaba,Seekh Kebab & Rolls,1946,Budget,Bombay Bhukkad,78,11.599214641555626,4.463662731120029,654.0596502191379,46.40261524952523,848.8217296447043,3.8168294564250322,2.875435419433251,1.1911825110724745,139,278,438,72,1.2992490322136072,19,31,0.7687461977400215,0.26915106124532895,0.7091266606645551,0.3315994270311613,0.9488943232251262,78.24344386176907,0.5027814606974943,40.34413771778051,10.106552414903437,7.55672145347077,8.26961209745695,0.15195970122971247,0.1507593410520682,9.06,8.259917346723627,7.214862653604147,9,0,8.907736972372032,9.7123016442919,72,18296,9,1.119227925010633,"12:00-14:00, 19:00-22:00",0.2608359759051261,5.2258487271529726,4.386040555977252,Mughlai,3.8351960236544915,0.08155298243502478,3.0,3.8817094058622716,4.18,2024-11-20,0.7995441067245433
